Node,Run,In Centrality,Total Spaces,Remaining Spaces,Full Count,Empty Count
0,1,0.5555555555555556,50,50,0,12
1,1,0.5555555555555556,50,50,0,1
2,1,0.7777777777777777,70,70,0,4
3,1,0.6666666666666666,60,8,0,0
4,1,0.6666666666666666,60,4,0,0
5,1,0.2222222222222222,20,10,0,0
6,1,0.2222222222222222,20,0,5,0
7,1,0.2222222222222222,20,0,1,0
8,1,0.4444444444444444,40,38,0,0
9,1,0.3333333333333333,30,0,1,0
0,2,0.5555555555555556,50,50,0,23
1,2,0.5555555555555556,50,50,0,1
2,2,0.7777777777777777,70,69,0,20
3,2,0.6666666666666666,60,18,2,0
4,2,0.6666666666666666,60,37,0,0
5,2,0.2222222222222222,20,0,0,0
6,2,0.2222222222222222,20,0,11,0
7,2,0.2222222222222222,20,0,1,0
8,2,0.4444444444444444,40,40,0,10
9,2,0.3333333333333333,30,0,2,0
0,3,0.5555555555555556,50,50,0,41
1,3,0.5555555555555556,50,50,0,1
2,3,0.7777777777777777,70,70,0,43
3,3,0.6666666666666666,60,40,2,0
4,3,0.6666666666666666,60,41,0,0
5,3,0.2222222222222222,20,0,0,0
6,3,0.2222222222222222,20,1,12,0
7,3,0.2222222222222222,20,0,1,0
8,3,0.4444444444444444,40,40,0,20
9,3,0.3333333333333333,30,0,3,0
0,4,0.5555555555555556,50,50,0,61
1,4,0.5555555555555556,50,50,0,1
2,4,0.7777777777777777,70,70,0,61
3,4,0.6666666666666666,60,41,2,0
4,4,0.6666666666666666,60,34,0,0
5,4,0.2222222222222222,20,10,0,0
6,4,0.2222222222222222,20,5,12,0
7,4,0.2222222222222222,20,0,2,0
8,4,0.4444444444444444,40,40,0,26
9,4,0.3333333333333333,30,0,4,0
0,5,0.5555555555555556,50,50,0,77
1,5,0.5555555555555556,50,50,0,1
2,5,0.7777777777777777,70,70,0,80
3,5,0.6666666666666666,60,59,2,6
4,5,0.6666666666666666,60,38,0,0
5,5,0.2222222222222222,20,12,0,0
6,5,0.2222222222222222,20,2,13,0
7,5,0.2222222222222222,20,0,3,0
8,5,0.4444444444444444,40,40,0,38
9,5,0.3333333333333333,30,0,6,0
0,6,0.5555555555555556,50,50,0,95
1,6,0.5555555555555556,50,50,0,1
2,6,0.7777777777777777,70,70,0,107
3,6,0.6666666666666666,60,59,2,14
4,6,0.6666666666666666,60,40,0,0
5,6,0.2222222222222222,20,13,0,0
6,6,0.2222222222222222,20,4,13,0
7,6,0.2222222222222222,20,0,4,0
8,6,0.4444444444444444,40,40,0,48
9,6,0.3333333333333333,30,4,6,0
0,7,0.5555555555555556,50,50,0,111
1,7,0.5555555555555556,50,50,0,1
2,7,0.7777777777777777,70,69,0,132
3,7,0.6666666666666666,60,60,2,35
4,7,0.6666666666666666,60,60,0,4
5,7,0.2222222222222222,20,18,0,0
6,7,0.2222222222222222,20,1,15,0
7,7,0.2222222222222222,20,0,6,0
8,7,0.4444444444444444,40,40,0,56
9,7,0.3333333333333333,30,2,9,0
0,8,0.5555555555555556,50,50,0,125
1,8,0.5555555555555556,50,50,0,1
2,8,0.7777777777777777,70,68,0,160
3,8,0.6666666666666666,60,60,2,47
4,8,0.6666666666666666,60,60,0,14
5,8,0.2222222222222222,20,20,0,1
6,8,0.2222222222222222,20,1,18,0
7,8,0.2222222222222222,20,0,7,0
8,8,0.4444444444444444,40,39,0,65
9,8,0.3333333333333333,30,5,9,0
0,9,0.5555555555555556,50,50,0,145
1,9,0.5555555555555556,50,50,0,1
2,9,0.7777777777777777,70,69,0,185
3,9,0.6666666666666666,60,60,2,58
4,9,0.6666666666666666,60,60,0,23
5,9,0.2222222222222222,20,20,0,1
6,9,0.2222222222222222,20,5,18,0
7,9,0.2222222222222222,20,0,11,0
8,9,0.4444444444444444,40,40,0,77
9,9,0.3333333333333333,30,2,13,0
0,10,0.5555555555555556,50,50,0,155
1,10,0.5555555555555556,50,50,0,1
2,10,0.7777777777777777,70,70,0,204
3,10,0.6666666666666666,60,60,2,66
4,10,0.6666666666666666,60,60,0,34
5,10,0.2222222222222222,20,20,0,1
6,10,0.2222222222222222,20,3,20,0
7,10,0.2222222222222222,20,0,13,0
8,10,0.4444444444444444,40,40,0,83
9,10,0.3333333333333333,30,1,17,0
0,11,0.5555555555555556,50,50,0,171
1,11,0.5555555555555556,50,50,0,1
2,11,0.7777777777777777,70,69,0,225
3,11,0.6666666666666666,60,59,2,84
4,11,0.6666666666666666,60,60,0,43
5,11,0.2222222222222222,20,20,0,1
6,11,0.2222222222222222,20,0,26,0
7,11,0.2222222222222222,20,0,16,0
8,11,0.4444444444444444,40,40,0,97
9,11,0.3333333333333333,30,4,17,0
0,12,0.5555555555555556,50,50,0,187
1,12,0.5555555555555556,50,50,0,1
2,12,0.7777777777777777,70,70,0,253
3,12,0.6666666666666666,60,60,2,95
4,12,0.6666666666666666,60,60,0,47
5,12,0.2222222222222222,20,20,0,1
6,12,0.2222222222222222,20,1,28,0
7,12,0.2222222222222222,20,0,19,0
8,12,0.4444444444444444,40,40,0,105
9,12,0.3333333333333333,30,0,22,0
0,13,0.5555555555555556,50,50,0,199
1,13,0.5555555555555556,50,50,0,1
2,13,0.7777777777777777,70,66,0,273
3,13,0.6666666666666666,60,60,2,104
4,13,0.6666666666666666,60,59,0,55
5,13,0.2222222222222222,20,20,0,1
6,13,0.2222222222222222,20,14,28,0
7,13,0.2222222222222222,20,0,22,0
8,13,0.4444444444444444,40,39,0,120
9,13,0.3333333333333333,30,0,23,0
0,14,0.5555555555555556,50,49,0,213
1,14,0.5555555555555556,50,50,0,1
2,14,0.7777777777777777,70,70,0,298
3,14,0.6666666666666666,60,58,2,114
4,14,0.6666666666666666,60,60,0,70
5,14,0.2222222222222222,20,20,0,1
6,14,0.2222222222222222,20,0,33,0
7,14,0.2222222222222222,20,2,25,0
8,14,0.4444444444444444,40,40,0,128
9,14,0.3333333333333333,30,4,25,0
0,15,0.5555555555555556,50,50,0,230
1,15,0.5555555555555556,50,50,0,2
2,15,0.7777777777777777,70,67,0,320
3,15,0.6666666666666666,60,59,2,130
4,15,0.6666666666666666,60,57,0,81
5,15,0.2222222222222222,20,20,0,1
6,15,0.2222222222222222,20,7,33,0
7,15,0.2222222222222222,20,0,28,0
8,15,0.4444444444444444,40,39,0,141
9,15,0.3333333333333333,30,0,29,0
0,16,0.5555555555555556,50,50,0,252
1,16,0.5555555555555556,50,50,0,2
2,16,0.7777777777777777,70,70,0,342
3,16,0.6666666666666666,60,59,2,143
4,16,0.6666666666666666,60,59,0,93
5,16,0.2222222222222222,20,13,0,1
6,16,0.2222222222222222,20,3,38,0
7,16,0.2222222222222222,20,0,32,0
8,16,0.4444444444444444,40,40,0,153
9,16,0.3333333333333333,30,3,29,0
0,17,0.5555555555555556,50,50,0,263
1,17,0.5555555555555556,50,50,0,2
2,17,0.7777777777777777,70,70,0,362
3,17,0.6666666666666666,60,58,2,150
4,17,0.6666666666666666,60,60,0,100
5,17,0.2222222222222222,20,17,0,1
6,17,0.2222222222222222,20,3,44,0
7,17,0.2222222222222222,20,0,34,0
8,17,0.4444444444444444,40,39,0,166
9,17,0.3333333333333333,30,5,29,0
0,18,0.5555555555555556,50,50,0,280
1,18,0.5555555555555556,50,50,0,2
2,18,0.7777777777777777,70,70,0,386
3,18,0.6666666666666666,60,60,2,161
4,18,0.6666666666666666,60,59,0,123
5,18,0.2222222222222222,20,20,0,2
6,18,0.2222222222222222,20,3,52,0
7,18,0.2222222222222222,20,1,36,0
8,18,0.4444444444444444,40,39,0,186
9,18,0.3333333333333333,30,0,34,0
0,19,0.5555555555555556,50,50,0,292
1,19,0.5555555555555556,50,50,0,2
2,19,0.7777777777777777,70,70,0,410
3,19,0.6666666666666666,60,60,2,182
4,19,0.6666666666666666,60,57,0,131
5,19,0.2222222222222222,20,20,0,2
6,19,0.2222222222222222,20,1,60,0
7,19,0.2222222222222222,20,1,37,0
8,19,0.4444444444444444,40,40,0,197
9,19,0.3333333333333333,30,0,36,0
0,20,0.5555555555555556,50,50,0,308
1,20,0.5555555555555556,50,50,0,2
2,20,0.7777777777777777,70,70,0,430
3,20,0.6666666666666666,60,58,2,196
4,20,0.6666666666666666,60,60,0,144
5,20,0.2222222222222222,20,17,0,2
6,20,0.2222222222222222,20,1,62,0
7,20,0.2222222222222222,20,0,41,0
8,20,0.4444444444444444,40,40,0,206
9,20,0.3333333333333333,30,1,36,0
